index,XLNX_close,XLNX_volume,LSCC_close,LSCC_volume,INTC_close,INTC_volume,NVDA_close,NVDA_volume,AMD_close,AMD_volume
2019-06-14,105.42,3032800,13.83,715500,46.19,15381100,144.64,9860700,30.36,70373000
2019-06-17,104.53,1910500,14.09,1593700,46.13,12643300,145.03,6901000,29.2,70865700
2019-06-18,111.78,5151100,14.69,1102100,47.37,25732300,152.88,14548000,30.45,86444500
2019-06-19,111.84,2631900,14.91,1142200,47.07,17436400,153.12,8291100,30.5,63233900
2019-06-20,114.76,2948900,14.94,1678500,47.19,20126800,154.1,8754200,30.01,72418200
2019-06-21,112.14,4518400,14.39,2653100,47.46,31096300,151.76,10860700,29.1,81861300
2019-06-24,112.69,1974600,13.98,816700,47.63,14479900,152.66,7073700,29.26,55724800
2019-06-25,109.95,2829400,13.65,699900,46.85,16665600,151.48,7796700,28.86,53680900
2019-06-26,114.23,3186100,13.62,1537700,48.19,21886300,159.26,14601800,29.92,65064200
2019-06-27,118.18,4137900,14.03,1252600,47.46,23062900,163.23,11136000,30.74,55623300
2019-06-28,117.92,4524900,14.59,2973000,47.87,26646200,164.23,9941700,30.37,50090900
2019-07-01,121.15,4280500,15.1,1781100,48.05,27423300,166.17,17743900,31.2,60275900
2019-07-02,117.6,3113500,14.7,1432600,48.12,15381600,162.23,10005700,31.24,37721700
2019-07-03,116.39,2627900,14.92,1328100,48.52,10739100,162.75,6165900,31.19,23462000
2019-07-05,116.11,1747400,15.07,678300,48.08,14339200,160.23,9913800,31.5,34011900
2019-07-08,115.93,1431600,15.02,973400,47.82,16564300,157.21,8244700,32.04,49689400
2019-07-09,117.34,2081400,15.38,2696200,47.75,17853200,157.31,8571500,33.15,61419800
2019-07-10,117.49,2062600,15.88,2538900,48.21,16032300,160.06,11301900,33.79,60388400
2019-07-11,118.37,1880000,16.25,2508400,48.6,16615100,166.28,17064000,33.06,63081800
2019-07-12,120.32,2183500,16.62,3204600,49.92,20148700,167.61,12659800,33.21,51509700
2019-07-15,121.66,1407300,16.88,2247100,50.12,14345100,167.27,7246000,34.39,65565200
2019-07-16,121.23,2050600,16.15,1946800,49.17,17131400,167.08,8536100,33.85,66912700
2019-07-17,120.91,1727700,16.39,1849100,49.39,11928600,169.71,8705100,33.6,42557900
2019-07-18,122.86,2907500,16.18,2290800,49.94,15671600,170.18,11054800,33.0,58473900
2019-07-19,122.7,2434200,16.37,1144600,50.27,29141100,168.44,8622400,32.51,44617700
2019-07-22,124.23,2073100,16.38,989600,51.35,21688000,171.32,7898500,32.85,37777300
